Old Name,New Name
Cytochrome oxidase subunit 1,cox1
cytochrome oxidase subunit 2,cox2
cytochrome oxidase subunit-2,cox2
cytochrome oxidase subunit2,cox2
cytochrome oxidase subunit-2; TAA stop codonappears after polyadenylation,cox2
cytochrome oxidase subunit 3,cox3
cytochrome oxidase subunit-3,cox3
cytochrome oxidase subunit3,cox3
cytochrome oxidase subunit,cox1
cytochrome oxidase subunit,cox3
cytochrome oxidase subunit I (COI),cox1
'cytochrome oxidase subunit I,cox1
cytochrome oxidase subunit I,cox1
cytochrome oxidase subunit-I,cox1
cytochrome oxidase subunitI,cox1
"cytochrome oxidase, subunit I",cox1
cytochrome oxidasesubunit I,cox1
Cytochrome oxidase subunit I,cox1
cytochrome oxidase subunit I gene,cox1
cytochrome oxidase subunit II,cox2
cytochrome oxidase subunit-II,cox2
"cytochrome oxidase, subunit II",cox2
Cytochrome oxidase subunit II,cox2
cytochrome oxidase subunit III,cox3
Cytochrome oxidase subunit III,cox3
cytochrome oxidase subunit III type 1,cox3
cytochrome oxidase subunit III type 2,cox3
cytochrome oxidase subunit one,cox1
cytochrome oxidase subunits I,cox1
cytochrome oxidase subunits II,cox2
cytochrome oxidase subunti 1,cox1
cytochrome oxidase subunt I,cox1
cytochrome oxidase subunt II,cox2
cytochrome oxidase sununit 3,cox3
cytochrome oxidase sununit I,cox1
cytochrome oxidase sununit II,cox2
cytochrome oxidase susbunit III,cox3
cytochrome oxidase sybunit I,cox1
cytochrome oxidate subunit I,cox1
cytochrome oxidaze subunit 1,cox1
cytochrome oxidiase subunit I,cox1
cytochrome oxidse subunit I,cox1
cytochrome oxisase subunit I,cox1
cytochrome oxitase subunit II,cox2
cytochrome oxitase subunit III,cox3
cytochrome oxitdase subunit I,cox1
cytochrome oxiydase subunit 1,cox1
cytochrome oxodase subunit I,cox1
cytochrome oxydase 1,cox1
cytochrome oxydase c subunit I,cox1
cytochrome oxydase I,cox1
cytochrome oxydase II,cox2
cytochrome oxydase subunit 1,cox1
Cytochrome Oxydase Subunit1,cox1
cytochrome oxydase subunit 2,cox2
Cytochrome oxydase subunit 2,cox2
cytochrome oxydase subunit 3,cox3
Cytochrome oxydase subunit 3,cox3
Cytochrome Oxydase Subunit3,cox3
cytochrome oxydase subunit I,cox1
cytochrome oxydase subunit II,cox2
cytochrome oxydase subunit III,cox3
cytochrome subunit B,cytb
cytochrom oxidase I,cox1
cytochtome b,cytb
cytochtome c oxidase subunit I,cox1
cytochtome c oxidase subunit II,cox2
cytochtome c oxidase subunit III,cox3
cytochtrome b,cytb
cytocrhome b,cytb
cytocrhome oxidase subunit I,cox1
cytocrome b,cytb
cytocrome c oxidase subunit 1,cox1
cytocrome c oxidase subunit I,cox1
Cytocrome Oxidase II,cox2
cytocrome oxidase subunit 1,cox1
cytocrome oxidase subunit I,cox1
cytocrome oxidase subunit II,cox2
cytoghrome b,cytb
cytohcrome b,cytb
cytohrome oxidase subunit I,cox1
cytomchrome c oxidase subunit 1,cox1
CytOxI,cox1
cyt oxidase subunit 1,cox1
cyt oxidase subunit 2,cox2
cyt oxidase subunit 3,cox3
CytOxII,cox2
cytrochrome b oxidase,cytb
dh1,nad1
dh2,nad2
dh3,nad3
dh4L,nad4l
dh4,nad4
dh5,nad5
dh6,nad6
DtCOI,cox1
F0-ATPase region 6,atp6
F0-ATPase region 8,atp8
F0-ATPase subunit 6,atp6
F0-ATPase subunit6,atp6
F0-ATPase subunit 8,atp8
F0-ATPase subunit8,atp8
F0-ATP synthase subunit 6,atp6
F0-ATP synthase subunit6,atp6
F0-ATP synthase subunit 8,atp8
F0-ATP synthase subunit8,atp8
F0/F1 ATP synthase subunit 6,atp6
F0/F1 ATP synthase subunit 8,atp8
F1 ATPase subunit 6,atp6
F1-ATPase subunit 6,atp6
F1 ATPase subunit 8,atp8
F1-ATPase subunit 8,atp8
F-ATPase subunit 6,atp6
F-ATPase subunit 8,atp8
Fcox1,cox1
Fo ATPase subunit 6,atp6
FO-ATPase subunit 6,atp6
FO-ATPase subunit 8,atp8
FoF1 ATPase subunit6,atp6
"frameshift mechanism unknown (Mindell et al., 1998, Mol. Biol. Evol., 15:1568-1571",nad3
genomic DNA,cox1
HcCOI,cox1
H(+)-transporting ATP synthase 6,atp6
H(+)-transporting ATP synthase 8,atp8
H(+)-transporting ATP synthase,atp6
H(+)-transporting ATP synthase,atp8
H+-transporting ATP synthase subunit 6,atp6
H+-transporting ATP synthase subunit 8,atp8
l6S ribosomal RNA,16s
large 16S ribosomal RNA,16s
large ribosomal RNA,16s
large ribosomal RNA subnuit,16s
large ribosomal RNA subunit,16s
large ribosomal RNA subunit RNA,16s
large rRNA,16s
large subunit,16s
large subunit 16S ribosomal RNA,16s
large subunit of 16S ribosomal RNA,16s
large subunit of ribosomal RNA,16s
large subunit ribosomal RNA,16s
large subunit ribosomal RNA gene,16s
large subunit ribosomal RNA (lrRNA),16s
l-ribosomal RNA,16s
l-rRNA,16s
lrRNA,16s
LrRNA,16s
LSrRNA,16s
lsu,16s
LSU,16s
lsu ribosomal RNA,16s
lsu rRNA,16s
lsu-rRNA,16s
LSU rRNA,16s
mitochondiral cytochrome b,cytb
mitochondrial 16S rRNA gene,16s
mitochondrial cytochrome b,cytb
Mitochondrial cytochrome b,cytb
mitochondrial cytochrome c oxidase subunit III,cox3
mitochondrial cytochrome oxidase subunit I,cox1
mitochondrial cytochrome oxidase subunit II,cox2
mitochondrial cytochromw b,cytb
mitochondrial large ribosomal RNA subunit RNA,16s
mitochondrially encoded Cytochrome b,cytb
mitochondrially encoded NADH dehydrogenase 2,nad2
mitochondrial NADH dehydrogenase subunit 2,nad2
mitochondrial SSU ribosomal RNA,12s
MTATP6,atp6
MTATP8,atp8
mtCO1,cox1
MTCO1,cox1
MTCO2,cox2
MTCO3,cox3
mt-co,cox3
mt COI,cox1
mtCOI,cox1
mtcyb,cytb
MT-CYB,cytb
MTCYTB,cytb
mtLSU rRNA,16s
mtND1,nad1
MT-ND1,nad1
MTND5,nad5
NA4L,nad4l
nad1,nad1
Nad1,nad1
NAD1,nad1
nad1 protein,nad1
nad2,nad2
Nad2,nad2
NAD2,nad2
nad3,nad3
nad4_0,nad4
nad4l,nad4l
nad 4L,nad4l
nad4L,nad4l
nad4,nad4
Nad4,nad4
NAD4,nad4
nad5,nad5
NAD5,nad5
nad6,nad6
NAD dehydrogenase 1,nad1
NAD Dehydrogenase subunit 1,nad1
NAD dehydrogenase subunit 2,nad2
NAD dehydrogenase subunit 3,nad3
NAD dehydrogenase subunit 4L,nad4l
NAD dehydrogenase subunit 5,nad5
NAD dehydrogenase subunit 6,nad6
NADG dehydrogenase subunit 3,nad3
NADH 1 dehydrogenase,nad1
NADH1 dehydrogenase subunit 1,nad1
nadh-1,nad1
nadh1,nad1
NADH 1,nad1
NADH-1,nad1
NADH1,nad1
NADH1 protein,nad1
nadh2,nad2
NADH 2,nad2
NADH-2,nad2
NADH2,nad2
NADH2 protein,nad2
nadh3,nad3
NADH 3,nad3
NADH-3,nad3
NADH3,nad3
NADH3 protein,nad3
nadh4L,nad4l
